,date,dic
0,2021-03-30,"{'CORONA-PANDEMIE': 2, 'ITALIEN': 2, 'WILL': 3, 'EINREISEREGELN': 1, 'VERSCHÄRFEN': 1, 'WIRTSCHAFT': 1, 'WEHRT': 1, 'SICH': 1, 'GEGEN': 1, 'DROHENDE': 1, 'CORONA-TESTPFLICHT': 1, 'LIVEBLOG': 6, 'BIONTECH': 1, 'IMPFSTOFF-PRODUKTION': 1, 'ERHÖHEN': 1, 'THROMBOSE-FÄLLE': 1, 'BERLIN': 1, 'SETZT': 1, 'ASTRAZENECA-IMPFUNGEN': 2, 'AUS': 1, 'BAYERN': 1, 'BEIM': 1, 'IMPFEN': 1, 'GAS': 1, 'GEBEN': 1, 'SÖDER': 1, 'FORDERT': 2, 'STRIKTEN': 1, 'ANTI-CORONA-KURS': 1, 'BERLINER': 1, 'CHARITÉ': 1, 'STOPPT': 1, 'BEI': 2, 'FRAUEN': 1, 'UNTER': 1, '55': 1, 'CORONAVIRUS': 1, 'GRENZE': 1, 'ZU': 1, 'TSCHECHIEN': 1, 'WIRD': 1, 'WEITER': 1, 'KONTROLLIERT': 1, 'VERHÄNGT': 1, 'QUARANTÄNE': 1, 'EINREISE': 1, 'BUNDESINNENMINISTER': 1, 'ZUR': 2, 'FÜR': 4, 'FLUGREISENDE': 1, 'SCHWEDENS': 1, 'CHEFEPIDEMIOLOGE': 1, 'BALANCEAKT': 1, 'ZWISCHEN': 2, 'SCHADEN': 1, 'UND': 2, 'NUTZEN': 1, 'ARD-FAKTENFINDER': 1, 'FAKTENCHECKS': 1, 'STÄDTETAG': 1, 'HARTEN': 1, 'LOCKDOWN': 1, 'BIDEN': 1, 'IMPFANGEBOT': 1, '90': 1, 'PROZENT': 1, 'DER': 2, 'ERWACHSENEN': 1, 'IM': 1, 'APRIL': 1, 'MEHR': 1, 'BUNDES-KOMPETENZEN': 1, 'NICHT': 1, 'NOTWENDIG': 1, 'OSTERURLAUB': 1, 'WARUM': 1, 'SOLL': 1, 'ICH': 1, 'GEWISSENSBISSE': 1, 'HABEN?': 1, 'BRINKHAUS': 1, 'WARNT': 1, 'VOR': 1, 'ZERWÜRFNIS': 1, 'BUND': 1, 'LÄNDERN': 1, 'UPDATE': 1, 'CORONA-WARN-APP': 1, 'ANONYM': 1, 'EINCHECKEN': 1, 'PER': 1, 'QR-CODE': 1, 'DGB-CHEF': 1, 'TESTPFLICHT': 1, 'UNTERNEHMEN': 1}"
1,2021-03-29,"{'CORONA-LIVEBLOG': 5, 'EUSKIRCHEN': 1, 'KEIN': 1, 'ASTRAZENECA': 1, 'FÜR': 1, 'FRAUEN': 1, 'UNTER': 1, '55': 1, 'LANDWIRTSCHAFT': 1, 'CORONA-SCHUTZMASSNAHMEN': 1, 'ERSCHWEREN': 1, 'ERNTE': 1, 'ENGLAND': 1, 'MACHT': 1, 'VORSICHTIG': 1, 'WIEDER': 1, 'AUF': 2, 'MERKEL': 3, 'ÜBT': 2, 'KRITIK': 2, 'AM': 2, 'CORONA-KURS': 2, 'DER': 2, 'LÄNDER': 2, 'CORONA-MASSNAHMEN': 1, 'GANZ': 1, 'OHNE': 1, 'BUNDESLÄNDER': 1, 'GEHT': 1, 'ES': 1, 'NICHT': 1, 'SPUTNIK-V-PRODUKTION': 1, 'IN': 1, 'CHINA': 1, 'WHO': 1, 'ZUM': 1, 'CORONA-URSPRUNG': 1, 'FLEDERMAUS': 1, 'WOHL': 1, 'TRÄGER': 1, 'DES': 1, 'CORONAVIRUS': 1, 'KOMMENTAR': 1, 'MUSS': 1, 'JETZT': 1, 'SCHNELL': 1, 'HANDELN': 1, 'LIVE': 1, 'REGIERUNGS-PRESSEKONFERENZ': 1, 'ZUR': 1, 'CORONA-KRISE': 1, 'IMMUNOLOGEN': 1, 'KRITISIEREN': 1, 'IMPFTEMPO': 1, 'FAST': 1, '10.000': 1, 'NEUINFEKTIONEN': 1, 'UND': 1, 'EINE': 1, 'INZIDENZ': 1, 'ÜBER': 1, '134': 1, 'INZIDENZWERT': 1, 'STEIGT': 1, '134,4': 1, 'BRITISCHE': 1, 'REGIERUNG': 1, 'LOCKERT': 1, 'BESCHRÄNKUNGEN': 1}"
2,2021-03-28,"{'PANDEMIE': 2, 'SÖDER': 1, 'FÜR': 2, 'MEHR': 4, 'KOMPETENZEN': 1, 'DEN': 1, 'BUND': 1, 'MERKEL': 1, 'BEI': 1, 'ANNE': 1, 'WILL': 1, 'WIR': 1, 'HABEN': 1, 'EINE': 2, 'NEUE': 1, 'TAUSENDE': 2, 'DEUTSCHE': 1, 'VERBRINGEN': 1, 'OSTERFERIEN': 1, 'AUF': 1, 'MALLORCA': 2, 'CORONA-LIVEBLOG': 5, 'KLÄRANLAGEN': 1, 'ALS': 2, 'FRÜHWARNSYSTEM?': 1, 'FLIEGEN': 1, 'TROTZ': 1, 'CORONA': 1, 'NACH': 1, 'EU-LÄNDER': 1, 'BERATEN': 1, 'ÜBER': 1, 'GRÜNEN': 1, 'PASS': 1, 'WARUM': 1, 'LÄUFT': 1, 'DAS': 1, '-MANAGEMENT': 1, 'DER': 2, 'REGIERUNG': 1, 'SO': 1, 'SCHLECHT?': 1, 'DIE': 1, 'DISKUSSION': 1, 'LIVE': 1, 'IM': 1, '@ARD_PRESSECLUB.': 1, 'STEIGENDE': 1, 'ZAHLEN': 1, 'OSTERGIPFEL': 1, 'STATT': 1, 'OSTERRUHE?': 1, 'BERLINER': 1, 'TESTKONZERT': 1, 'FUNKE': 1, 'HOFFNUNG': 1, '17.100': 1, 'NEUINFEKTIONEN': 1, 'UND': 1, 'INZIDENZ': 1, 'VON': 1, '130': 1, 'KENIA': 1, 'MANGELERNÄHRTE': 1, 'KINDER': 1, 'DURCH': 1, 'CORONA-KRISE': 2, 'BRAUN': 1, 'WARNT': 1, 'VOR': 1, 'IMPFRESISTENTEN': 1, 'MUTATIONEN': 1, 'OPPOSITION': 1, 'FORDERT': 1, 'KINDERKRANKENTAGE': 1}"
3,2021-03-27,"{'LIVEBLOG': 6, 'SCHWESIG': 1, 'VERSCHÄRFT': 1, 'MASSNAHMEN': 1, 'IN': 2, 'MV': 1, 'JOHNSON&AMP;JOHNSON': 1, '-': 1, 'AB': 2, 'MITTE': 1, 'APRIL': 1, 'AUCH': 1, 'DEUTSCHLAND': 1, 'CORONA-NACHHILFE': 2, 'LEHRERVERBAND': 1, 'RECHNET': 1, 'MIT': 1, 'ZWEI': 1, 'MILLIARDEN': 1, 'EURO': 2, 'SPAHN': 1, 'BIS': 1, 'ZU': 1, '100.000': 1, 'ARZTPRAXEN': 1, 'IMPFEN': 1, 'MAI': 1, 'CORONA-PANDEMIE': 1, 'GROSSBRITANNIEN': 2, 'PLANT': 2, 'DRITTE': 2, 'IMPFUNG': 2, 'INZIDENZ': 1, 'IM': 1, 'SAALE-ORLA-KREIS': 1, 'ÜBER': 1, '500': 1, 'TARIFEINIGUNG': 1, 'CORONA-PRÄMIE': 1, 'FÜR': 4, 'STAHLKOCHER': 1, 'RUSSISCHES': 1, 'VAKZIN': 1, 'RUFE': 1, 'NACH': 1, 'SPUTNIK': 2, 'V': 2, 'AUS': 1, 'BAYERN': 1, 'UND': 3, 'THÜRINGEN': 1, 'SÖDER': 1, 'RAMELOW': 1, 'BESTELLUNG': 1, 'VON': 1, 'KARLICZEK': 1, 'EINE': 1, 'MILLIARDE': 1, '20.400': 1, 'NEUINFEKTIONEN': 1, 'SIEBEN-TAGE-INZIDENZ': 1, 'BEI': 1, '124,9': 1, 'SPD-CHEF': 1, 'FORDERT': 1, 'TESTPFLICHT': 1, 'UNTERNEHMEN': 1}"
4,2021-03-26,"{'WHO': 1, 'RUFT': 1, 'ZU': 2, 'IMPFSTOFF-SPENDEN': 1, 'FÜR': 4, 'ARME': 1, 'LÄNDER': 1, 'AUF': 3, 'BUNDESVERFASSUNGSGERICHT': 1, 'EU-CORONA-HILFEN': 1, 'VORLÄUFIG': 1, 'GESTOPPT': 1, 'FRANKREICH,': 1, 'TSCHECHIEN': 1, 'UND': 6, 'SLOWAKEI': 1, 'WERDEN': 1, 'CORONA-HOCHINZIDENZGEBIETE': 1, 'EMA': 1, 'GENEHMIGT': 1, 'ZWEI': 1, 'NEUE': 1, 'IMPFSTOFFWERKE': 1, 'UNIKLINIK': 1, 'ROSTOCK': 1, 'STOPPT': 1, 'ASTRAZENECA-IMPFUNGEN': 1, 'CORONA-LAGE': 2, 'IN': 1, 'FRANKREICH': 1, 'DIE': 3, 'ZAHLEN': 1, 'STEIGEN': 2, 'LIVEBLOG': 4, 'NRW': 1, 'LÄSST': 1, 'AUSNAHMEN': 1, 'VON': 1, 'NOTBREMSE': 1, 'THAILAND': 2, 'PLANT': 2, 'ÖFFNUNG': 2, 'GEIMPFTE': 2, 'TOURISTEN': 2, 'CORONA-KRISE': 1, 'MEHR': 2, 'UNTERSTÜTZUNG': 1, 'VOR': 2, 'ALLEM': 1, 'EINZELNE': 1, 'KÜNSTLER': 1, 'IFO-INDEX': 1, 'TROTZT': 1, 'DRITTER': 1, 'WELLE': 1, 'SPAHN': 3, 'GESUNDHEITSSYSTEM': 1, 'KÖNNTE': 1, 'IM': 1, 'APRIL': 1, 'AN': 1, 'BELASTUNGSGRENZE': 1, 'KOMMEN': 1, 'OSTERFERIEN': 1, 'MALLORCA': 1, 'SCHIMPFEND': 1, 'VOLL': 1, 'VORFREUDE': 1, 'INSEL': 1, 'BIDENS': 1, 'ERSTE': 1, 'PRESSEKONFERENZ': 1, 'EINE': 1, 'ANKÜNDIGUNG': 1, 'EIN': 1, 'VERSPRECHEN': 1, 'RKI-CHEF': 1, 'ZUR': 2, '-LAGE': 1, 'OSTERN': 1, 'LIVESTREAM': 1, 'WIELER': 1, 'RKI': 2, 'MELDET': 2, 'ALS': 1, '21.500': 1, 'CORONA-NEUINFEKTIONEN': 1, 'CORONA-PROTESTE': 1, 'SCHAUT': 1, 'POLIZEI': 1, 'WEG?': 1, '21.573': 1, 'NEUINFEKTIONEN': 1}"
5,2021-03-25,"{'NACH': 2, 'DEM': 1, 'ERSTEN': 1, 'TAG': 1, 'DES': 2, 'VIRTUELLEN': 1, 'EU-GIPFELS': 1, 'SPRICHT': 1, 'KANZLERIN': 1, 'ÜBER': 1, 'DIE': 4, 'ERGEBNISSE.': 1, 'THEMA': 1, 'WAR': 1, 'U.': 1, 'A.': 1, '-.': 1, 'US-PRÄSIDENT': 1, 'BIDEN': 1, 'VERDOPPELT': 1, 'IMPFZIEL': 1, 'POLITOLOGE': 1, 'FAAS': 1, 'ZU': 3, 'DEN': 2, 'FOLGEN': 1, 'MERKEL-RÜCKZIEHERS': 1, 'BUND-LÄNDER-TREFFEN': 1, 'BERATUNGEN': 1, 'IM': 5, 'FALSCHEN': 1, 'FORMAT?': 1, 'RKI': 1, 'MEHR': 1, 'CORONA-INFEKTIONEN': 1, 'BEI': 3, 'KINDERN': 1, 'UND': 2, 'JUGENDLICHEN': 1, 'AB': 1, 'SONNTAG': 1, 'LAUT': 1, 'ÜBEREINSTIMMENDEN': 1, 'MEDIENBERICHTEN': 1, 'CORONA-TESTPFLICHT': 1, 'EINREISEN': 1, 'PER': 1, 'FLUGZEUG': 1, 'BUNDESREGIERUNG': 1, 'STREICHT': 1, 'AUCH': 1, 'BITTE': 1, 'UM': 1, 'VIRTUELLE': 1, 'MESSEN': 1, 'LIVEBLOG': 3, 'SCHWESIG': 1, 'KRITISIERT': 1, 'LOCKERUNGSPLÄNE': 1, 'SAARLAND': 2, 'CORONA-IMPFSTOFFE': 1, 'FÜR': 1, 'KINDER': 1, 'WIE': 1, 'WEIT': 1, 'SIND': 1, 'HERSTELLER?': 1, 'DÄNEMARK': 1, 'WILL': 2, 'ASTRAZENECA-STOPP': 1, 'VERLÄNGERN': 1, 'VOR': 1, 'ISLAND-SPIEL': 1, 'CORONA-FALL': 1, 'DFB-TEAM': 1, 'DEUTSCHE': 1, 'TRINKEN': 1, 'CORONA-JAHR': 1, 'WENIGER': 1, 'ALKOHOL': 1, 'CORONA-PANDEMIE': 1, 'DOPPEL-MUTANTE': 1, 'BREITET': 1, 'SICH': 2, 'IN': 2, 'INDIEN': 1, 'AUS': 1, 'MERKELS': 1, 'SETZT': 1, 'IMFPSTOFFBESCHAFFUNG': 1, 'AUF': 1, 'EUROPÄISCHEN': 1, 'WEG': 1, 'PRO': 1, 'CONTRA': 1, 'EXPORTSTOPP': 1, '-': 1, 'SINNVOLL': 1, 'ODER': 1, 'ABWEGIG?': 1, 'ZAHL': 2, 'DER': 3, 'DROGENTOTEN': 1, 'STEIGT': 1, 'EINZELHANDELSBESCHRÄNKUNGEN': 1, 'BADEN-WÜRTTEMBERG': 1, 'GEKIPPT': 1, 'LIVE': 1, 'MERKEL': 1, 'ÄUSSERT': 1, 'BUNDESTAG': 1, 'CORONA-BESCHLÜSSEN': 1, 'NEUINFEKTIONEN': 1, '20.000ER-MARKE': 1, 'WIEDER': 1, 'ÜBERSCHRITTEN': 1, 'LOCKERUNGEN': 1, 'OSTERN': 1, 'MODELLREGION': 1, 'WERDEN': 1, 'STAAT': 1, 'ALS': 1, 'VERMIETER': 1, 'KEINE': 1, 'GNADE': 1, 'TROTZ': 1, 'CORONA': 1, 'CORONAVIRUS': 1, 'KÖNNTE': 1, 'DEUTSCHLAND': 1, 'SCHNELLER': 1, 'IMPFEN?': 1, 'ASTRAZENECA': 1, '76': 1, 'PROZENT': 1, 'EFFEKTIV': 1}"
6,2021-03-24,"{'ÜBERLASTETE': 1, 'KLINIKEN': 1, 'ÖSTERREICH': 1, 'VERHÄNGT': 1, 'OSTER-LOCKDOWN': 1, 'ÜBERBLICK': 1, 'WELCHE': 1, 'REGELN': 1, 'IM': 4, 'LOCKDOWN': 1, 'WEITER': 4, 'GELTEN': 1, 'REGIERUNGSCHAOS': 1, 'WIE': 1, 'GEHT': 1, 'ES': 1, 'IN': 8, 'DER': 5, 'CORONA-KRISE?': 1, 'LIVEBLOG': 6, 'BIS': 1, 'ZU': 2, '73,5': 1, 'MILLIONEN': 2, 'DOSEN': 1, 'ZWEITEN': 1, 'QUARTAL': 1, 'MERKEL': 4, 'GEGEN': 1, 'VERTRAUENSFRAGE': 2, 'NEIN,': 1, 'DAS': 1, 'WERDE': 1, 'ICH': 1, 'NICHT': 2, 'TUN': 1, 'LÄNDERCHEFS': 1, 'PLÄDIEREN': 1, 'FÜR': 2, 'REFORM': 1, 'BUND-LÄNDER-RUNDEN': 1, 'ASTRAZENECA': 2, 'VERWIRRUNG': 1, 'UM': 1, 'IMPFDOSEN-FUND': 1, 'ITALIEN': 2, 'BUNDESETAT': 1, 'CORONA-KRISE': 1, 'TREIBT': 1, 'SCHULDEN': 1, 'DIE': 1, 'HÖHE': 1, 'KOMMENTAR': 1, 'MERKELS': 1, 'ENTSCHULDIGUNG': 1, '-': 1, 'EIN': 1, 'LICHTBLICK': 1, 'BUNDESREGIERUNG': 1, 'PRÜFT': 1, 'VERBOT': 1, 'VON': 4, 'URLAUBSREISEN': 1, 'INS': 1, 'AUSLAND': 1, 'MARKTBERICHT': 1, 'CORONA-ÄNGSTE': 1, 'VOM': 1, 'TISCH': 1, 'CORONA': 1, 'EU': 2, 'VERSCHÄRFT': 1, 'KONTROLLE': 1, 'IMPFSTOFF-EXPORTEN': 1, 'CORONA-IMPFUNGEN': 1, 'FAST': 1, 'NIE': 1, 'SCHWERE': 1, 'NEBENWIRKUNGEN': 1, 'GEKIPPTE': 1, 'OSTERRUHE': 1, 'FDP': 1, 'UND': 1, 'LINKE': 1, 'FORDERN': 1, 'IMPFDOSEN': 1, 'ENTDECKT': 1, 'LIVE': 2, 'KANZLERIN': 2, 'FRAGESTUNDE': 2, 'BUNDESTAG': 2, 'CORONA-OSTERRUHE': 3, 'GEKIPPT': 3, 'BEI': 1, 'MERKEL-STATEMENT': 2, '|': 2, 'ERWARTET': 1, 'SONDERAUSGABE': 1, 'TAGESSCHAU': 1, 'LASCHET': 1, 'KÜNDIGT': 1, 'MODELLPROJEKTE': 1, 'ÖFFNUNGEN': 1, 'AN': 1, 'CORONA-BESCHLÜSSE': 1, 'BERÄT': 1, 'AM': 1, 'VORMITTAG': 1, 'ERNEUT': 1, 'MIT': 1, 'MINISTERPRÄSIDENTEN': 1, 'KURZ': 1, 'DRÄNGT': 1, 'AUF': 1, 'ANDERE': 1, 'CORONA-IMPFSTOFFVERTEILUNG': 1, 'LÖHNE': 1, 'ERSTMALS': 2, 'SEIT': 1, 'JAHREN': 1, 'GESUNKEN': 1, 'CUREVAC': 1, 'MUTANTEN': 1, 'ERSCHWEREN': 1, 'IMPFSTOFFZULASSUNG': 1, 'ZAHL': 1, 'CORONA-NEUINFEKTIONEN': 1, 'DEUTSCHLAND': 2, 'STEIGT': 1, 'IW-FORSCHER': 1, 'SENKEN': 1, 'KONJUNKTURPROGNOSE': 1, 'BRASILIEN': 1, 'MEHR': 2, 'ALS': 2, '3000': 1, 'CORONA-TOTE': 2, '24': 1, 'STUNDEN': 1, '75.000': 1, 'SCHUTZ': 1, 'POLITIKERN': 1, 'WAHLKAMPF': 1, 'UNSICHERHEITEN': 1, 'GROSSBRITANNIEN': 1, 'WILL': 1, 'AB': 1, 'AUGUST': 1, 'KINDER': 1, 'IMPFEN': 1}"
7,2021-03-23,"{'OSTER-LOCKDOWN': 1, 'KRETSCHMER': 1, 'DÄMPFT': 1, 'HOFFNUNG': 1, 'AUF': 2, 'BEFREIUNGSSCHLAG': 1, 'TESTPFLICHT': 1, 'MALLORCA-URLAUBER': 1, 'REAGIEREN': 1, 'GELASSEN': 1, 'CORONA-IMPFUNGEN': 1, 'WARUM': 1, 'DAUERT': 1, 'DAS': 6, 'SO': 2, 'LANGE?': 1, 'INITIATIVE': 1, 'FORDERT': 1, 'ARD-FORMAT': 1, 'FÜR': 1, 'KLIMA': 1, 'CORONA-FOLGEN': 1, 'KONZERTVERANSTALTER': 1, 'IM': 1, 'KRISENMODUS': 1, 'SCHNELLTESTS': 1, 'WIEVIELE': 1, 'UNTERNEHMEN': 1, 'TESTEN': 2, 'BEREITS?': 1, 'CORONA-LOCKDOWN': 1, 'LÄNDERCHEFS': 1, 'MAHNEN': 1, 'ZUR': 1, 'OSTER-RUHE': 1, 'KRITIK': 2, 'NACH': 3, 'BESCHLÜSSEN': 2, 'INZWISCHEN': 1, 'NULL': 1, 'VERSTÄNDNIS': 1, 'COVID-19': 1, 'IMPFT': 1, 'DIE': 5, 'WELT': 1, 'KIRCHEN': 1, 'ÜBERRASCHT': 1, 'VON': 1, 'BITTE': 1, 'UM': 1, 'VIRTUELLE': 1, 'GOTTESDIENSTE': 1, 'CORONA-BESCHLÜSSE': 1, 'AUS': 1, 'DER': 2, 'WIRTSCHAFT': 1, 'REAKTIONEN': 1, 'BESCHLÜSSE': 1, 'EIN': 1, 'BISSCHEN': 1, 'BREMSUNG': 1, 'HINKRIEGEN': 1, 'HEIMWERKEN-TREND': 1, 'BAUMÄRKTE': 1, 'GEHÖREN': 1, 'ZU': 5, 'DEN': 2, 'KRISENGEWINNERN': 1, 'LIVESTREAM': 1, 'SAGEN': 1, 'LÄNDER': 3, 'BUND-LÄNDER-BERATUNGEN': 1, 'SIND': 3, 'NEUEN': 2, 'CORONA-REGELN.': 1, 'KOMMENTAR': 1, 'MENSCHEN': 1, 'ABGEKÄMPFT': 1, 'UND': 3, 'MÜDE': 1, 'ANALYSE': 1, 'ZUM': 1, 'BUND-LÄNDER-TREFFEN': 1, 'LAND': 1, 'SOLL': 1, 'RUHEN': 1, 'CORONA-KRISE': 1, 'AIRLINES': 1, 'WOLLEN': 1, 'MALLORCA-RÜCKKEHRER': 1, 'BUND-LÄNDER-BESCHLUSS': 1, 'CORONA-REGELN': 1, 'BUND': 2, 'BESCHLIESSEN': 1, 'HARTEN': 1, 'LOCKDOWN': 2, 'OSTERN': 2, 'LIVEBLOG': 1, 'VERSCHÄRFTER': 1, 'LIVE': 1, 'WEITEREM': 1, 'VORGEHEN': 1, 'IN': 1, 'PANDEMIE': 1, 'CORONA-GIPFEL': 1, '-PRESSEKONFERENZ': 1, 'MIT': 1, 'KANZLERIN': 1, 'MERKEL,': 1, 'SÖDER,': 1, 'MÜLLER': 1}"
8,2021-03-22,"{'CORONA-SITZUNG': 1, 'UNTERBROCHEN': 1, '|': 1, 'TAGESTHEMEN': 1, 'MARKTBERICHT': 3, 'AKTIENMARKT': 1, 'TROTZT': 1, 'CORONA-ÄNGSTEN': 1, 'BUND-LÄNDER-BERATUNGEN': 1, 'WOHL': 3, 'KEINE': 1, 'LOCKERUNG': 1, 'ÜBER': 1, 'OSTERN': 3, 'LIVEBLOG': 8, 'STRENGE': 1, 'KONTAKTREGELN': 1, 'AUCH': 3, 'ZU': 1, 'GENERELLER': 2, 'LOCKDOWN': 2, 'BIS': 2, '18.': 2, 'APRIL': 2, 'SCHOLZ': 2, 'PLANT': 2, 'FÜR': 4, '2021': 1, 'UND': 3, '2022': 1, 'NEUE': 1, 'MILLIARDENSCHULDEN': 1, 'HOHE': 1, 'NEUVERSCHULDUNG': 1, 'CORONA': 2, 'KEIN': 1, 'ENDE': 1, 'CORONA-MASSNAHMEN': 2, 'STREITPUNKT': 1, 'AUSGANGSSPERREN': 1, 'SCHÄRFERE': 1, 'AUFLAGEN': 1, 'HANDEL': 1, 'IN': 2, 'NRW': 1, 'SCHUB': 1, 'DAS': 2, 'ONLINE-BANKING': 1, 'DURCH': 1, 'GIFFEY': 1, 'WILL': 1, 'CORONATESTS': 1, 'KITAKINDER': 1, 'SPANIEN': 1, 'DROHT': 1, 'NACH': 1, 'DIE': 3, 'VIERTE': 1, 'CORONA-WELLE?': 1, 'MARBURGER': 1, 'BUND': 2, 'WARNT': 1, 'VOR': 1, 'CORONA-LOCKERUNGEN': 1, 'GERICHT': 1, 'KIPPT': 1, 'BESCHRÄNKUNGEN': 1, 'IM': 1, 'NRW-EINZELHANDEL': 1, 'WELCHE': 1, 'DISKUTIEREN': 1, 'LÄNDER?': 1, 'ZIEHT': 1, 'BÖRSE': 1, 'CORONA-NOTBREMSE?': 1, 'CORONA-PANDEMIE': 2, 'SCHULEN': 2, 'AUF,': 1, 'ZU?': 1, 'WIEDER': 1, 'MEHR': 3, 'ALS': 3, '3000': 2, 'INTENSIV-PATIENTEN': 1, 'SPRING-BREAK': 1, '-FEIERN': 1, 'MIAMI': 1, 'BEACH': 1, '1000': 1, 'FESTNAHMEN': 1, 'CORONA-PATIENTEN': 1, 'AUF': 1, 'INTENSIVSTATIONEN': 1, 'INTERVIEW': 1, 'BUND-LÄNDER-GIPFEL': 1, 'VERTRAUEN': 1, 'IST': 1, 'ERSCHÜTTERT': 1}"
